0.000000 -0.707107
0.067227 -0.777699
0.134454 -0.839628
0.201681 -0.892202
0.268908 -0.934836
0.336134 -0.967055
0.403361 -0.988501
0.470588 -0.998933
0.537815 -0.998236
0.605042 -0.986418
0.672269 -0.963611
0.739496 -0.930068
0.806723 -0.886163
0.873950 -0.832385
0.941176 -0.769334
1.008403 -0.697712
1.075630 -0.618316
1.142857 -0.532032
1.210084 -0.439821
1.277311 -0.342709
1.344538 -0.241780
1.411765 -0.138156
1.478992 -0.032994
1.546218 0.072536
1.613445 0.177258
1.680672 0.280005
1.747899 0.379633
1.815126 0.475031
1.882353 0.565136
1.949580 0.648946
2.016807 0.725526
2.084034 0.794022
2.151261 0.853673
2.218487 0.903813
2.285714 0.943883
2.352941 0.973438
2.420168 0.992148
2.487395 0.999804
2.554622 0.996321
2.621849 0.981739
2.689076 0.956219
2.756303 0.920046
2.823529 0.873622
2.890756 0.817466
2.957983 0.752202
3.025210 0.678558
3.092437 0.597355
3.159664 0.509496
3.226891 0.415961
3.294118 0.317791
3.361345 0.216082
3.428571 0.111964
3.495798 0.006600
3.563025 -0.098838
3.630252 -0.203175
3.697479 -0.305248
3.764706 -0.403921
3.831933 -0.498094
3.899160 -0.586717
3.966387 -0.668804
4.033613 -0.743439
4.100840 -0.809792
4.168067 -0.867123
4.235294 -0.914794
4.302521 -0.952273
4.369748 -0.979142
4.436975 -0.995104
4.504202 -0.999978
4.571429 -0.993712
4.638655 -0.976375
4.705882 -0.948161
4.773109 -0.909383
4.840336 -0.860473
4.907563 -0.801977
4.974790 -0.734546
5.042017 -0.658932
5.109244 -0.575977
5.176471 -0.486604
5.243697 -0.391811
5.310924 -0.292652
5.378151 -0.190233
5.445378 -0.085695
5.512605 0.019799
5.579832 0.125071
5.647059 0.228951
5.714286 0.330279
5.781513 0.427928
5.848739 0.520809
5.915966 0.607888
5.983193 0.688195
6.050420 0.760834
6.117647 0.824997
6.184874 0.879969
6.252101 0.925137
6.319328 0.959999
6.386555 0.984164
6.453782 0.997366
6.521008 0.999456
6.588235 0.990410
6.655462 0.970331
6.722689 0.939442
6.789916 0.898086
6.857143 0.846724
6.924370 0.785929
6.991597 0.716379
7.058824 0.638847
7.126050 0.554198
7.193277 0.463374
7.260504 0.367388
7.327731 0.267309
7.394958 0.164252
7.462185 0.059365
7.529412 -0.046183
7.596639 -0.151217
7.663866 -0.254566
7.731092 -0.355080
7.798319 -0.451637
7.865546 -0.543162
7.932773 -0.628636
8.000000 -0.707107
